Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
E0,2019-08-09,0 days 20:00:00,Liverpool,Norwich,4,1
E0,2019-08-10,0 days 12:30:00,West Ham,Man City,0,5
E0,2019-08-10,0 days 15:00:00,Bournemouth,Sheffield United,1,1
E0,2019-08-10,0 days 15:00:00,Burnley,Southampton,3,0
E0,2019-08-10,0 days 15:00:00,Crystal Palace,Everton,0,0
E0,2019-08-10,0 days 15:00:00,Watford,Brighton,0,3
E0,2019-08-10,0 days 17:30:00,Tottenham,Aston Villa,3,1
E0,2019-08-11,0 days 14:00:00,Leicester,Wolves,0,0
E0,2019-08-11,0 days 14:00:00,Newcastle,Arsenal,0,1
E0,2019-08-11,0 days 16:30:00,Man United,Chelsea,4,0
E0,2019-08-17,0 days 12:30:00,Arsenal,Burnley,2,1
E0,2019-08-17,0 days 15:00:00,Aston Villa,Bournemouth,1,2
E0,2019-08-17,0 days 15:00:00,Brighton,West Ham,1,1
E0,2019-08-17,0 days 15:00:00,Everton,Watford,1,0
E0,2019-08-17,0 days 15:00:00,Norwich,Newcastle,3,1
E0,2019-08-17,0 days 15:00:00,Southampton,Liverpool,1,2
E0,2019-08-17,0 days 17:30:00,Man City,Tottenham,2,2
E0,2019-08-18,0 days 14:00:00,Sheffield United,Crystal Palace,1,0
E0,2019-08-18,0 days 16:30:00,Chelsea,Leicester,1,1
E0,2019-08-19,0 days 20:00:00,Wolves,Man United,1,1
E0,2019-08-23,0 days 20:00:00,Aston Villa,Everton,2,0
E0,2019-08-24,0 days 12:30:00,Norwich,Chelsea,2,3
E0,2019-08-24,0 days 15:00:00,Brighton,Southampton,0,2
E0,2019-08-24,0 days 15:00:00,Man United,Crystal Palace,1,2
E0,2019-08-24,0 days 15:00:00,Sheffield United,Leicester,1,2
E0,2019-08-24,0 days 15:00:00,Watford,West Ham,1,3
E0,2019-08-24,0 days 17:30:00,Liverpool,Arsenal,3,1
E0,2019-08-25,0 days 14:00:00,Bournemouth,Man City,1,3
E0,2019-08-25,0 days 16:30:00,Tottenham,Newcastle,0,1
E0,2019-08-25,0 days 16:30:00,Wolves,Burnley,1,1
E0,2019-08-31,0 days 12:30:00,Southampton,Man United,1,1
E0,2019-08-31,0 days 15:00:00,Chelsea,Sheffield United,2,2
E0,2019-08-31,0 days 15:00:00,Crystal Palace,Aston Villa,1,0
E0,2019-08-31,0 days 15:00:00,Leicester,Bournemouth,3,1
E0,2019-08-31,0 days 15:00:00,Man City,Brighton,4,0
E0,2019-08-31,0 days 15:00:00,Newcastle,Watford,1,1
E0,2019-08-31,0 days 15:00:00,West Ham,Norwich,2,0
E0,2019-08-31,0 days 17:30:00,Burnley,Liverpool,0,3
E0,2019-09-01,0 days 14:00:00,Everton,Wolves,3,2
E0,2019-09-01,0 days 16:30:00,Arsenal,Tottenham,2,2
E0,2019-09-14,0 days 12:30:00,Liverpool,Newcastle,3,1
E0,2019-09-14,0 days 15:00:00,Brighton,Burnley,1,1
E0,2019-09-14,0 days 15:00:00,Man United,Leicester,1,0
E0,2019-09-14,0 days 15:00:00,Sheffield United,Southampton,0,1
E0,2019-09-14,0 days 15:00:00,Tottenham,Crystal Palace,4,0
E0,2019-09-14,0 days 15:00:00,Wolves,Chelsea,2,5
E0,2019-09-14,0 days 17:30:00,Norwich,Man City,3,2
E0,2019-09-15,0 days 14:00:00,Bournemouth,Everton,3,1
E0,2019-09-15,0 days 16:30:00,Watford,Arsenal,2,2
E0,2019-09-16,0 days 20:00:00,Aston Villa,West Ham,0,0
E0,2019-09-20,0 days 20:00:00,Southampton,Bournemouth,1,3
E0,2019-09-21,0 days 12:30:00,Leicester,Tottenham,2,1
E0,2019-09-21,0 days 15:00:00,Burnley,Norwich,2,0
E0,2019-09-21,0 days 15:00:00,Everton,Sheffield United,0,2
E0,2019-09-21,0 days 15:00:00,Man City,Watford,8,0
E0,2019-09-21,0 days 17:30:00,Newcastle,Brighton,0,0
E0,2019-09-22,0 days 14:00:00,Crystal Palace,Wolves,1,1
E0,2019-09-22,0 days 14:00:00,West Ham,Man United,2,0
E0,2019-09-22,0 days 16:30:00,Arsenal,Aston Villa,3,2
E0,2019-09-22,0 days 16:30:00,Chelsea,Liverpool,1,2
E0,2019-09-28,0 days 12:30:00,Sheffield United,Liverpool,0,1
E0,2019-09-28,0 days 15:00:00,Aston Villa,Burnley,2,2
E0,2019-09-28,0 days 15:00:00,Bournemouth,West Ham,2,2
E0,2019-09-28,0 days 15:00:00,Chelsea,Brighton,2,0
E0,2019-09-28,0 days 15:00:00,Crystal Palace,Norwich,2,0
E0,2019-09-28,0 days 15:00:00,Tottenham,Southampton,2,1
E0,2019-09-28,0 days 15:00:00,Wolves,Watford,2,0
E0,2019-09-28,0 days 17:30:00,Everton,Man City,1,3
E0,2019-09-29,0 days 16:30:00,Leicester,Newcastle,5,0
E0,2019-09-30,0 days 20:00:00,Man United,Arsenal,1,1
E0,2019-10-05,0 days 12:30:00,Brighton,Tottenham,3,0
E0,2019-10-05,0 days 15:00:00,Burnley,Everton,1,0
E0,2019-10-05,0 days 15:00:00,Liverpool,Leicester,2,1
E0,2019-10-05,0 days 15:00:00,Norwich,Aston Villa,1,5
E0,2019-10-05,0 days 15:00:00,Watford,Sheffield United,0,0
E0,2019-10-05,0 days 17:30:00,West Ham,Crystal Palace,1,2
E0,2019-10-06,0 days 14:00:00,Arsenal,Bournemouth,1,0
E0,2019-10-06,0 days 14:00:00,Man City,Wolves,0,2
E0,2019-10-06,0 days 14:00:00,Southampton,Chelsea,1,4
E0,2019-10-06,0 days 16:30:00,Newcastle,Man United,1,0
E0,2019-10-19,0 days 12:30:00,Everton,West Ham,2,0
E0,2019-10-19,0 days 15:00:00,Aston Villa,Brighton,2,1
E0,2019-10-19,0 days 15:00:00,Bournemouth,Norwich,0,0
E0,2019-10-19,0 days 15:00:00,Chelsea,Newcastle,1,0
E0,2019-10-19,0 days 15:00:00,Leicester,Burnley,2,1
E0,2019-10-19,0 days 15:00:00,Tottenham,Watford,1,1
E0,2019-10-19,0 days 15:00:00,Wolves,Southampton,1,1
E0,2019-10-19,0 days 17:30:00,Crystal Palace,Man City,0,2
E0,2019-10-20,0 days 16:30:00,Man United,Liverpool,1,1
E0,2019-10-21,0 days 20:00:00,Sheffield United,Arsenal,1,0
E0,2019-10-25,0 days 20:00:00,Southampton,Leicester,0,9
E0,2019-10-26,0 days 12:30:00,Man City,Aston Villa,3,0
